address,decimals,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,lastTradeUnixTime,token_url
5e7LXQaYAjYxM9K6ZWTn4YHtn7H1aRF2hni7h9gNpump,6,16943.07212374718,13532.429516231115,Justice for Frank ,frank,,35516816.384367615,2024-12-23 21:03:36,https://www.birdeye.so/token/5e7LXQaYAjYxM9K6ZWTn4YHtn7H1aRF2hni7h9gNpump?chain=solana
CeTGkrbCsJeg3FkBfebDx4oJgVBBCZDznoKfZwYfpump,6,12522.000767626558,9701.39740502649,KATSUE,KATSUE,,17131867.680772714,2024-12-23 21:14:23,https://www.birdeye.so/token/CeTGkrbCsJeg3FkBfebDx4oJgVBBCZDznoKfZwYfpump?chain=solana
DvUEKA2gRbBRu83vHM4Wf2iqnbGVVUhJpLFMQJgBpump,6,19488.707835732974,18748.28097596326,AI by ARC,ARCAI,,16001993.260382993,2024-12-23 21:05:23,https://www.birdeye.so/token/DvUEKA2gRbBRu83vHM4Wf2iqnbGVVUhJpLFMQJgBpump?chain=solana
8TACaGVgqnq1naYXA3TEbwKVBoKrBQTki9RVDiHoLQjM,6,16018.436447527974,14901.519622409402,Blastar,Blastar,,14062574.98894979,2024-12-23 21:04:44,https://www.birdeye.so/token/8TACaGVgqnq1naYXA3TEbwKVBoKrBQTki9RVDiHoLQjM?chain=solana
cD5EZX6zctPMzp16sEyWXxRbBmtN5xdk5UaDUarpump,6,7148.954793930202,3615.6766038504024,Hazel Terminal,Hazel,,8103148.389114651,2024-12-23 21:21:11,https://www.birdeye.so/token/cD5EZX6zctPMzp16sEyWXxRbBmtN5xdk5UaDUarpump?chain=solana
4FBr6xMkvVzgYyPBaesDmgiaaQncptedZuUU4d28pump,6,10393.628792785847,6508.863890781228,Pump Up God,PUG,,6401123.8354276465,2024-12-23 20:52:36,https://www.birdeye.so/token/4FBr6xMkvVzgYyPBaesDmgiaaQncptedZuUU4d28pump?chain=solana
7a5YotowDECg8U36QK46YiyEQPmw8ixf68LAnTr2moon,9,9832.131053292833,6352.835963863427,SantaGPT,SantaGPT,,5345512.04279436,2024-12-23 21:11:29,https://www.birdeye.so/token/7a5YotowDECg8U36QK46YiyEQPmw8ixf68LAnTr2moon?chain=solana
3KarrZGNhpYj8E37YXpKA54vaaSDgRomeb3rdA8ypump,6,9372.180253779923,5882.104121103625,Printer,Lime,,5308818.651224733,2024-12-23 20:59:04,https://www.birdeye.so/token/3KarrZGNhpYj8E37YXpKA54vaaSDgRomeb3rdA8ypump?chain=solana
6oMbzUEsL5jAyQy8rnbrn5kmXrJtiqPa1w7CTF8hpump,6,6859.172898780915,13439.158957305212,just a ai guy,AIGUY,,4937857.165411562,2024-12-23 21:23:54,https://www.birdeye.so/token/6oMbzUEsL5jAyQy8rnbrn5kmXrJtiqPa1w7CTF8hpump?chain=solana
D51Jhbd6yZi4wDuyEpe1fcYY6Zwc7opszpgqfp1epump,6,7896.173950222482,4235.430183572081,Pou,POU,,4581588.286099466,2024-12-23 21:22:35,https://www.birdeye.so/token/D51Jhbd6yZi4wDuyEpe1fcYY6Zwc7opszpgqfp1epump?chain=solana
5HT58MYd5QHnJALs1obTCyxf3uk3eV8N2XnuAUuK4mdi,6,10438.97743682429,7387.587478763585,Luna,LUNA,,4424872.232824186,2024-12-23 21:11:33,https://www.birdeye.so/token/5HT58MYd5QHnJALs1obTCyxf3uk3eV8N2XnuAUuK4mdi?chain=solana
CTau1nncjGG86bZZL2Rwga6EoSsGAUuTHq2HiwZ7pump,6,9843.234140087377,6929.318318391692,SMONKE,SMONKE,,3508157.436351398,2024-12-23 20:52:22,https://www.birdeye.so/token/CTau1nncjGG86bZZL2Rwga6EoSsGAUuTHq2HiwZ7pump?chain=solana
J4bmtYKKeLa8Thh3aF49DGAZDHSSADBsrn1ynBiApump,6,9510.74986189721,6483.268741813907,JoeBRTai,JoeAI,,3171856.0276546483,2024-12-23 21:03:22,https://www.birdeye.so/token/J4bmtYKKeLa8Thh3aF49DGAZDHSSADBsrn1ynBiApump?chain=solana
2MgVEZooiC3XMupyBcavwAhQ8YqPLJNNHh4yqudfpump,6,9458.123677903941,6258.113460675942,zerebro dog,ZDOG,,2912114.573684743,2024-12-23 21:06:24,https://www.birdeye.so/token/2MgVEZooiC3XMupyBcavwAhQ8YqPLJNNHh4yqudfpump?chain=solana
HBFS5uW3rSmrBu9CAxSNrt12vFRCXAprXqbeKTfxpump,6,10189.411116137002,7295.56224181218,clit,clit,,2719832.928382113,2024-12-23 21:13:59,https://www.birdeye.so/token/HBFS5uW3rSmrBu9CAxSNrt12vFRCXAprXqbeKTfxpump?chain=solana
eZQjVU8g6gUwwXQNVgYHp8A578wYN4GZ2aq64Avpump,6,7417.238321817317,4551.181396272476,shark.fun,SHARK,,2287960.521700795,2024-12-23 20:52:35,https://www.birdeye.so/token/eZQjVU8g6gUwwXQNVgYHp8A578wYN4GZ2aq64Avpump?chain=solana
